name,cyl,disp,hp
Mazda RX4,6,160.0,110
Mazda RX4 Wag,6,160.0,110
Datsun 710,4,108.0,93
Hornet 4 Drive,6,258.0,110
Hornet Sportabout,8,360.0,175
Valiant,6,225.0,105
Duster 360,8,360.0,245
Merc 240D,4,146.7,62
Merc 230,4,140.8,95
Merc 280,6,167.6,123
Merc 280C,6,167.6,123
Merc 450SE,8,275.8,180
Merc 450SL,8,275.8,180
Merc 450SLC,8,275.8,180
Cadillac Fleetwood,8,472.0,205
Lincoln Continental,8,460.0,215
Chrysler Imperial,8,440.0,230
Fiat 128,4,78.7,66
Honda Civic,4,75.7,52
Toyota Corolla,4,71.1,65
Toyota Corona,4,120.1,97
Dodge Challenger,8,318.0,150
AMC Javelin,8,304.0,150
Camaro Z28,8,350.0,245
Pontiac Firebird,8,400.0,175
Fiat X1-9,4,79.0,66
Porsche 914-2,4,120.3,91
Lotus Europa,4,95.1,113
Ford Pantera L,8,351.0,264
Ferrari Dino,6,145.0,175
Maserati Bora,8,301.0,335
Volvo 142E,4,121.0,109
